category,price,currency,price_1m2,title,address,floor,area,title_deed,repair,mortgage,url,room_number
Yeni tikili,340 000,AZN,2 430 AZN/m²,"Satılır 4 otaqlı yeni tikili 139.9 m², Gənclik m.",Fəxrəddin Əsədov 2,3 / 15,139.9 m²,var,var,,https://bina.az/items/3619278,4
Yeni tikili,170 000,AZN,1 600 AZN/m²,"Satılır 3 otaqlı yeni tikili 106 m², Həzi Aslanov m.",Gəncə prospekti,16 / 16,106 m²,var,var,var,https://bina.az/items/3865685,3
Yeni tikili,255 000,AZN,2 210 AZN/m²,"Satılır 3 otaqlı yeni tikili 115.5 m², 28 May m.",Səməd Vurğun küç,10 / 19,115.5 m²,var,var,var,https://bina.az/items/3596679,3
Yeni tikili,143 000,AZN,2 040 AZN/m²,"Satılır 2 otaqlı yeni tikili 70 m², Badamdar q.",Badamdar şossesi,8 / 15,70 m²,var,var,var,https://bina.az/items/3866697,2
Yeni tikili,210 000,AZN,1 620 AZN/m²,"Satılır 3 otaqlı yeni tikili 130 m², Nərimanov r.",Təbriz küç,15 / 17,130 m²,yoxdur,yoxdur,,https://bina.az/items/3866694,3
Köhnə tikili,96 000,AZN,2 290 AZN/m²,"Satılır 2 otaqlı köhnə tikili 42 m², Əhmədli m.",Neapol küç,9 / 9,42 m²,var,var,,https://bina.az/items/3770559,2
Yeni tikili,235 000,AZN,1 960 AZN/m²,"Satılır 5 otaqlı yeni tikili 120 m², Qara Qarayev m.",Rüstəm Rüstəmov küçəsi,16 / 17,120 m²,var,var,,https://bina.az/items/3865495,5
Yeni tikili,135 000,AZN,1 930 AZN/m²,"Satılır 3 otaqlı yeni tikili 70 m², Yeni Günəşli q.",Elcin İsmayilov küçəsi,9 / 16,70 m²,var,var,,https://bina.az/items/3866690,3
Yeni tikili,140 000,AZN,1 870 AZN/m²,"Satılır 2 otaqlı yeni tikili 75 m², İnşaatçılar m.",Dadaş Bünyadzadə,7 / 19,75 m²,yoxdur,var,,https://bina.az/items/3866687,2
Yeni tikili,1 100 000,AZN,4 400 AZN/m²,"Satılır 4 otaqlı yeni tikili 250 m², İçəri Şəhər m.",Abdulla Şaiq küçə.,3 / 16,250 m²,var,var,var,https://bina.az/items/3701431,4
Yeni tikili,167 000,AZN,2 320 AZN/m²,"Satılır 3 otaqlı yeni tikili 72 m², Memar Əcəmi m.",Hüseyn Seyidzadə küç.,8 / 14,72 m²,yoxdur,var,,https://bina.az/items/3742733,3
Yeni tikili,259 000,AZN,2 340 AZN/m²,"Satılır 3 otaqlı yeni tikili 110.5 m², İnşaatçılar m.",Akademik Şəfaət Mehdiyev küç.,9 / 20,110.5 m²,var,var,var,https://bina.az/items/3241493,3
Yeni tikili,216 500,AZN,2 740 AZN/m²,"Satılır 2 otaqlı yeni tikili 79 m², Şah İsmayıl Xətai m.",Xocalı prospekti,4 / 17,79 m²,var,var,var,https://bina.az/items/3866684,2
Yeni tikili,129 000,AZN,2 150 AZN/m²,"Satılır 2 otaqlı yeni tikili 60 m², Qara Qarayev m.",Əlif Hacıyev küçəsi,10 / 17,60 m²,var,var,,https://bina.az/items/3866679,2
Köhnə tikili,80 000,AZN,2 290 AZN/m²,"Satılır 1 otaqlı köhnə tikili 35 m², Xalqlar Dostluğu m.",B.Nuriyev küçəsi,4 / 5,35 m²,var,var,,https://bina.az/items/3850130,1
Köhnə tikili,106 000,AZN,2 040 AZN/m²,"Satılır 2 otaqlı köhnə tikili 52 m², Memar Əcəmi m.",Cavadxan küçəsi,3 / 5,52 m²,var,var,var,https://bina.az/items/3793467,2
Yeni tikili,126 000,AZN,2 030 AZN/m²,"Satılır 1 otaqlı yeni tikili 62 m², Nəsimi r.",Səməd Vurğun küç.,5 / 10,62 m²,yoxdur,yoxdur,,https://bina.az/items/3866677,1
Yeni tikili,183 300,AZN,2 350 AZN/m²,"Satılır 2 otaqlı yeni tikili 78 m², Nəsimi r.",Mirəli Qaşqay küçəsi,9 / 16,78 m²,yoxdur,yoxdur,,https://bina.az/items/3866678,2
Yeni tikili,217 000,AZN,1 550 AZN/m²,"Satılır 3 otaqlı yeni tikili 140 m², Neftçilər m.",Rüstəm Rüstəmov küçəsi.,15 / 19,140 m²,var,var,var,https://bina.az/items/3865429,3
Yeni tikili,495 000,AZN,2 680 AZN/m²,"Satılır 4 otaqlı yeni tikili 185 m², Nəsimi r.",Nəsib bəy Yusifbəyli küç.,19 / 20,185 m²,yoxdur,var,,https://bina.az/items/3866676,4
Yeni tikili,340 000,AZN,2 960 AZN/m²,"Satılır 3 otaqlı yeni tikili 115 m², Nəriman Nərimanov m.",Əliyar Əliyev küçəsi,16 / 17,115 m²,yoxdur,var,,https://bina.az/items/3866675,3
Yeni tikili,195 000,AZN,2 790 AZN/m²,"Satılır 2 otaqlı yeni tikili 70 m², Nəriman Nərimanov m.",Əliyar Əliyev küçəsi,9 / 18,70 m²,var,var,var,https://bina.az/items/3866674,2
Yeni tikili,123 000,AZN,2 240 AZN/m²,"Satılır 2 otaqlı yeni tikili 55 m², 20 Yanvar m.",Həsən Bəy Zərdabi prosbekti,5 / 17,55 m²,var,var,,https://bina.az/items/3866669,2
Köhnə tikili,370 000,AZN,2 640 AZN/m²,"Satılır 3 otaqlı köhnə tikili 140 m², 28 May m.","Диляра Алиева, 109",2 / 4,140 m²,var,yoxdur,,https://bina.az/items/3866666,3
Yeni tikili,280 000,AZN,2 070 AZN/m²,"Satılır 3 otaqlı yeni tikili 135 m², İnşaatçılar m.",Əbdülvahab Salamzadə,10 / 17,135 m²,var,var,,https://bina.az/items/3797330,3
Yeni tikili,146 000,AZN,2 330 AZN/m²,"Satılır 2 otaqlı yeni tikili 62.7 m², Nərimanov r.",Yusif Vəzir Çəmənzəminli küçəsi 16,12 / 16,62.7 m²,yoxdur,yoxdur,,https://bina.az/items/3866668,2
Yeni tikili,400 000,AZN,2 000 AZN/m²,"Satılır 4 otaqlı yeni tikili 200 m², 28 May m.",Rəşid Behbudov küçəsi,19 / 22,200 m²,yoxdur,yoxdur,,https://bina.az/items/3088815,4
Yeni tikili,430 000,AZN,3 140 AZN/m²,"Satılır 3 otaqlı yeni tikili 137 m², İçəri Şəhər m.",пр.Азербайджан 3,4 / 12,137 m²,var,var,,https://bina.az/items/3866665,3
Yeni tikili,135 000,AZN,1 350 AZN/m²,"Satılır 3 otaqlı yeni tikili 100 m², Qaraçuxur q.",Qaraçuxur qəsəbəsi,1 / 5,100 m²,yoxdur,var,,https://bina.az/items/3838457,3
Yeni tikili,140 000,AZN,1 610 AZN/m²,"Satılır 3 otaqlı yeni tikili 87 m², Nəsimi m.",Mir Cəlal küç.,17 / 17,87 m²,var,var,,https://bina.az/items/3736203,3
Köhnə tikili,420 000,AZN,7 000 AZN/m²,"Satılır 2 otaqlı köhnə tikili 60 m², İçəri Şəhər m.",Neftçilər pr 54,8 / 9,60 m²,var,var,,https://bina.az/items/3577892,2
Yeni tikili,460 000,AZN,2 580 AZN/m²,"Satılır 4 otaqlı yeni tikili 178 m², 8 Noyabr m.",Tbilisi prospekti,6 / 27,178 m²,var,var,,https://bina.az/items/3797227,4
Yeni tikili,270 000,AZN,2 350 AZN/m²,"Satılır 3 otaqlı yeni tikili 115 m², Memar Əcəmi m.",20 yanvar küç.,3 / 17,115 m²,yoxdur,var,,https://bina.az/items/3866662,3
Yeni tikili,600 000,AZN,2 400 AZN/m²,"Satılır 5 otaqlı yeni tikili 250 m², Şah İsmayıl Xətai m.",Nəcəfqulu Rəfiyev küçəsi,3 / 17,250 m²,var,var,,https://bina.az/items/3051258,5
Yeni tikili,1 100 000,AZN,5 000 AZN/m²,"Satılır 4 otaqlı yeni tikili 220 m², Sahil m.",Bül Bül prospekti,6 / 12,220 m²,var,var,,https://bina.az/items/3049725,4
Yeni tikili,1 050 000,AZN,3 710 AZN/m²,"Satılır 5 otaqlı yeni tikili 283 m², Şah İsmayıl Xətai m.",Afiyəddin Cəlilov küçəsi,13 / 20,283 m²,var,var,,https://bina.az/items/3043878,5
Yeni tikili,1 100 000,AZN,2 000 AZN/m²,"Satılır 5 otaqlı yeni tikili 550 m², Nəsimi r.",Xətai Prospekti,14 / 18,550 m²,var,var,,https://bina.az/items/3090466,5
Köhnə tikili,220 000,AZN,1 760 AZN/m²,"Satılır 5 otaqlı köhnə tikili 125 m², Memar Əcəmi m.",Mir Mahmud Kazımovski küç.,5 / 9,125 m²,var,var,var,https://bina.az/items/3822796,5
Yeni tikili,1 222 000,AZN,4 590 AZN/m²,"Satılır 4 otaqlı yeni tikili 266 m², Elmlər Akademiyası m.",Hüseyn Cavid prospekti,17 / 17,266 m²,var,var,,https://bina.az/items/3417101,4
Yeni tikili,600 000,AZN,2 910 AZN/m²,"Satılır 4 otaqlı yeni tikili 206 m², İçəri Şəhər m.",Bünyad Sərdarov küçəsi,10 / 15,206 m²,var,yoxdur,,https://bina.az/items/3043835,4
